Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
B,-26,0,0,1029,651
B,-25,0,0,783,492
B,-24,0,0,0,936
B,-23,0,0,1539,1476
B,-22,0,0,1323,1296
B,-21,0,0,3,1521
B,-20,0,0,1467,1893
B,-19,0,0,648,1359
B,-18,0,0,0,1689
B,-17,0,0,4119,1227
B,-16,0,0,2550,1002
B,-15,0,0,0,1056
B,-14,0,0,651,1017
B,-13,0,0,5331,1155
B,-12,0,0,0,1395
B,-11,0,0,1431,1518
B,-10,0,0,4728,1383
B,-9,0,0,3,1470
B,-8,0,0,1881,1818
B,-7,0,0,3873,2067
B,-6,0,0,3,2292
B,-5,0,0,2451,2028
B,-4,0,0,3030,1740
B,-3,0,0,3,3927
B,-2,0,0,3669,6573
B,-1,0,0,11883,9396
B,0,24,24,0,4062
B,1,9,9,11874,9387
B,2,3,3,3666,6570
B,3,3,6,0,3921
B,4,3,3,3027,1737
B,5,6,3,2445,2025
B,6,3,6,0,2286
B,7,0,0,3873,2067
B,8,0,0,1881,1818
B,9,3,3,0,1467
B,10,0,0,4728,1383
B,11,0,0,1431,1518
B,12,0,3,0,1392
B,13,3,0,5328,1155
B,14,0,0,651,1017
B,15,0,0,0,1056
B,16,0,0,2550,1002
B,17,3,3,4116,1224
B,18,0,0,0,1689
B,19,0,0,648,1359
B,20,0,0,1467,1893
B,21,3,3,0,1518
B,22,0,0,1323,1296
B,23,0,0,1539,1476
B,24,0,0,0,936
B,25,3,3,780,489
B,26,0,6,1029,645
B,27,0,3,0,1485
B,28,0,3,330,1239
B,29,3,0,750,813
B,30,6,3,0,105
B,31,3,3,378,54
B,32,3,3,444,36
B,33,3,3,0,21
B,34,3,0,954,21
B,35,3,0,1671,9
B,36,3,6,0,15
B,37,0,3,222,57
B,38,0,3,483,54
B,39,6,3,0,42
B,40,3,3,69,3
B,41,3,3,225,6
B,42,3,3,0,0
B,43,3,3,216,18
B,44,3,9,114,96
B,45,3,12,0,33
B,46,3,6,15,18
B,47,9,6,57,6
B,48,12,9,0,0
B,49,6,3,168,0
B,50,6,3,15,0
B,51,6,0,0,0
B,52,6,3,0,0
B,53,3,9,15,21
B,54,0,9,0,9
B,55,0,6,0,12
B,56,0,6,3,9
B,57,0,3,0,27
B,58,0,3,0,15
B,59,0,3,3,15
B,60,3,0,0,21
B,61,9,0,18,39
B,62,6,0,0,30
B,63,6,0,3,27
B,64,6,0,3,42
B,65,6,0,0,30
B,66,3,0,9,21
B,67,3,0,9,18
B,68,0,0,0,21
B,69,0,0,18,6
B,70,0,0,18,0
B,71,0,0,0,0
B,72,0,0,33,0
B,73,0,0,33,0
B,74,0,0,0,0
B,75,0,0,51,0
B,76,0,0,51,0
B,77,0,0,0,0
B,78,0,0,21,0
B,79,0,0,18,0
B,80,0,0,0,0
B,81,0,0,18,0
B,82,0,0,18,0
B,83,0,0,0,0
B,84,0,0,18,0
B,85,0,0,18,0
B,86,0,0,0,0
B,87,0,0,3,0
B,88,0,0,3,0
B,89,0,0,0,0
B,90,0,0,0,0
B,91,0,0,0,0
B,92,0,0,0,0
B,93,0,0,0,0
B,94,0,0,0,0
B,95,0,0,0,0
B,96,0,0,0,0
B,97,0,0,0,0
B,98,0,0,0,0
B,99,0,0,0,0
B,100,0,0,0,0
B,101,0,0,0,0
B,102,0,0,0,0
B,103,0,0,0,0
B,104,0,0,0,0
B,105,0,0,0,0
B,106,0,0,0,0
C,-106,0,0,0,0
C,-105,0,0,0,0
C,-104,0,0,0,0
C,-103,0,0,0,0
C,-102,0,0,0,0
C,-101,0,0,0,0
C,-100,0,0,0,0
C,-99,0,0,0,0
C,-98,0,0,0,0
C,-97,0,0,0,0
C,-96,0,0,0,0
C,-95,0,0,0,0
C,-94,0,0,0,0
C,-93,0,0,0,0
